From	To
P34902	Il2rg
P97449	Anpep
P28654	Dcn
P45376	Akr1b1
Q64726	Azgp1
P13597	Icam1
O35381	Anp32a
Q9EST5	Anp32b
Q6WVG3	Kctd12
Q9CQ60	Pgls
Q9Z1T2	Thbs4
P16406	Enpep
P16110	Lgals3
P97315	Csrp1
P20065	Tmsb4x
P29351	Ptpn6
P49429	Hpd
Q8K0C9	Gmds
Q6IRU2	Tpm4
Q8QZR4	Oaf
Q8C0M9	Asrgl1
Q9Z2U1	Psma5
Q07079	Igfbp5
P24549	Aldh1a1
Q9R097	Spint1
O70362	Gpld1
Q9CZT5	Vasn
G3X9C2	Nccrp1
Q9EQG7	Enpp5
Q61599	Arhgdib
O08692	Ngp
P39876	Timp3
P08607	C4bpa
Q01339	Apoh
Q62465	Vat1
Q5I012	Slc38a10
Q61805	Lbp
Q8C255	Dpep2
Q9Z2G9	Htatip2
O35375	Nrp2
Q63880	Ces3a
E9Q414	Apob
O35930	Gp1ba
Q8R555	Crtac1
Q91V13	Leap2
O70458	Osmr
Q01279	Egfr
Q06890	Clu
Q91VW3	Sh3bgrl3
Q9EQH2	Erap1
P60843	Eif4a1
P70375	F7
P35951	Ldlr
Q80YC5	F12
Q61982	Notch3
P11591	Mup5
Q9DBJ1	Pgam1
Q9QZ39	St6galnac1
P16045	Lgals1
Q9CQV8	Ywhab
Q9ES46	Parvb
O54819	Tfpi
P05622	Pdgfrb
P01942	Hba
P70269	Ctse
P10126	Eef1a1
Q99NH8	Trem2
P63242	Eif5a
Q9DBB9	Cpn2
Q9CPU0	Glo1
Q8VC30	Tkfc
Q61247	Serpinf2
Q01768	Nme2
P11588	Mup1
Q61702	Itih1
P35822	Ptprk
P19788	Mgp
P70296	Pebp1
Q61559	Fcgrt
P00329	Adh1
P29621	Serpina3c
A6X935	Itih4
P63017	Hspa8
P39655	Alox12
Q9QXD6	Fbp1
Q9DBG5	Plin3
P99026	Psmb4
P06801	Me1
P15532	Nme1
O08795	Prkcsh
P06683	C9
P42703	Lifr
P05064	Aldoa
P07759	Serpina3k
Q9WUZ9	Entpd5
O09159	Man2b1
P16882	Ghr
P13020	Gsn
P14211	Calr
P01844	Iglc2
Q11136	Pepd
O70456	Sfn
P07309	Ttr
P01754	Ighv1-62-3
P06328	Ighv1-72
Q9CQ52	Cela3b
Q9QWK4	Cd5l
O08997	Atox1
Q9R0E2	Plod1
Q3UQ28	Pxdn
Q6DFX2	Antxr2
P11152	Lpl
P06684	C5
Q9EQF5	Dpys
Q9Z2V4	Pck1
O88207	Col5a1
P02088	Hbb-b1
Q9QZ47	Tnnt3
Q64727	Vcl
E9Q1U1	Ccdc171
P24527	Lta4h
P52760	Rida
O35728	Cyp4a14
P41317	Mbl2
P68254	Ywhaq
Q8R2Y2	Mcam
P27773	Pdia3
P05367	Saa2
Q7TQI3	Otub1
Q9ET66	Pi16
P97873	Loxl1
Q8CIF4	Btd
O35516	Notch2
P16301	Lcat
O09061	Psmb1
Q9R0H0	Acox1
Q8R5M8	Cadm1
Q00519	Xdh
P46412	Gpx3
G5E8Q8	Adgrf5
Q61490	Alcam
P35700	Prdx1
